plan_id	cycle_id	week_id	day_id	exercise_id	sequence_number	workout_plan	status_enum	created_at	updated_at
100000	1	1	1	100000	2	85x5, 100x5, 110x5, 125x5, 140x5	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	1	100002	3	190x5, 210x1	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	1	100004	5	85x8, 85x8	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	1	100007	1	235x5, 275x5, 315x5, 355x5, 395x5	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	1	100010	4	170x5, 190x5, 210x5	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	1	100014	14	45x12, 45x12, 45x12	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	2	100001	7	100x5, 120x5, 135x5, 155x5, 170x5	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	2	100003	9	25x8, 30x8	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	2	100005	11	15x8, 15x8	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	2	100008	13	45x8, 55x8	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	2	100009	8	80x5, 95x5, 110x5, 120x5, 135x5	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	2	100011	10	15x8, 15x8	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	2	100012	12	65x8, 85x8	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	1	2	100014	14	45x12, 45x12, 45x12	Complete	5/11/2018 1:22:28 PM	NULL
100000	1	2	1	100000	2	90x5, 105x3, 120x3, 135x3, 150x3	Complete	5/11/2018 1:22:28 PM	5/18/2018 3:38:02 PM
100000	1	2	1	100002	3	200x5, 225x3	Complete	5/11/2018 1:22:28 PM	5/18/2018 3:38:02 PM
100000	1	2	1	100004	5	85x8, 85x8	Complete	5/11/2018 1:22:28 PM	5/18/2018 3:38:02 PM
100000	1	2	1	100007	1	250x5, 295x3, 335x3, 375x3, 420x3	Complete	5/11/2018 1:22:28 PM	5/18/2018 3:38:02 PM
100000	1	2	1	100010	4	180x3, 200x3, 225x3	Complete	5/11/2018 1:22:28 PM	5/18/2018 3:38:02 PM
100000	1	2	1	100014	14	45x12, 45x12, 45x12	Complete	5/11/2018 1:22:28 PM	5/18/2018 3:38:02 PM
100000	1	2	2	100001	7	110x5, 125x3, 145x3, 160x3, 180x3	Complete	5/11/2018 1:22:28 PM	5/23/2018 12:29:32 PM
100000	1	2	2	100003	9	25x8, 30x8	Complete	5/11/2018 1:22:28 PM	5/23/2018 12:29:32 PM
100000	1	2	2	100005	11	15x8, 15x8	Complete	5/11/2018 1:22:28 PM	5/23/2018 12:29:32 PM
100000	1	2	2	100008	13	45x8, 55x8	Complete	5/11/2018 1:22:28 PM	5/23/2018 12:29:32 PM
100000	1	2	2	100009	8	85x5, 100x3, 115x3, 130x3, 145x3	Complete	5/11/2018 1:22:28 PM	5/23/2018 12:29:32 PM
100000	1	2	2	100011	10	15x8, 15x8	Complete	5/11/2018 1:22:28 PM	5/23/2018 12:29:32 PM
100000	1	2	2	100012	12	65x8, 85x8	Complete	5/11/2018 1:22:28 PM	5/23/2018 12:29:32 PM
100000	1	2	2	100014	14	45x12, 45x12, 45x12	Complete	5/11/2018 1:22:28 PM	5/23/2018 12:29:32 PM
100000	1	3	1	100000	2	95x5, 110x3, 125x5, 140x3, 155x1	Complete	5/11/2018 1:22:28 PM	5/25/2018 4:25:39 PM
100000	1	3	1	100002	3	200x5, 225x3	Complete	5/11/2018 1:22:28 PM	5/25/2018 4:25:39 PM
100000	1	3	1	100004	5	85x8, 85x8	Complete	5/11/2018 1:22:28 PM	5/25/2018 4:25:39 PM
100000	1	3	1	100007	1	265x5, 310x3, 355x5, 400x3, 440x1	Complete	5/11/2018 1:22:28 PM	5/25/2018 4:25:39 PM
100000	1	3	1	100010	4	190x5, 215x3, 240x1	Complete	5/11/2018 1:22:28 PM	5/25/2018 4:25:39 PM
100000	1	3	1	100014	14	45x12, 45x12, 45x12	Complete	5/11/2018 1:22:28 PM	5/25/2018 4:25:39 PM
100000	1	3	2	100001	7	115x5, 135x3, 150x5, 170x3, 190x1	Complete	5/11/2018 1:22:28 PM	5/28/2018 2:14:43 PM
100000	1	3	2	100003	9	25x8, 30x8	Complete	5/11/2018 1:22:28 PM	5/28/2018 2:14:43 PM
100000	1	3	2	100005	11	15x8, 15x8	Complete	5/11/2018 1:22:28 PM	5/28/2018 2:14:43 PM
100000	1	3	2	100008	13	45x8, 55x8	Complete	5/11/2018 1:22:28 PM	5/28/2018 2:14:43 PM
100000	1	3	2	100009	8	90x5, 105x3, 120x5, 135x3, 150x1	Complete	5/11/2018 1:22:28 PM	5/28/2018 2:14:43 PM
100000	1	3	2	100011	10	15x8, 15x8	Complete	5/11/2018 1:22:28 PM	5/28/2018 2:14:43 PM
100000	1	3	2	100012	12	65x8, 85x8	Complete	5/11/2018 1:22:28 PM	5/28/2018 2:14:43 PM
100000	1	3	2	100014	14	45x12, 45x12, 45x12	Complete	5/11/2018 1:22:28 PM	5/28/2018 2:14:43 PM
100000	1	4	1	100000	2	80x8, 90x8, 100x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	1	100002	3	135x5, 150x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	1	100004	5	85x8, 85x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	1	100007	1	225x8, 250x8, 280x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	1	100010	4	120x8, 135x8, 150x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	1	100014	14	45x12, 45x12, 45x12	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	2	100001	7	95x8, 110x8, 120x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	2	100003	9	25x8, 30x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	2	100005	11	15x8, 15x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	2	100008	13	45x8, 55x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	2	100009	8	75x8, 85x8, 95x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	2	100011	10	15x8, 15x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	2	100012	12	65x8, 85x8	None	5/11/2018 1:22:28 PM	NULL
100000	1	4	2	100014	14	45x12, 45x12, 45x12	None	5/11/2018 1:22:28 PM	NULL
